GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2745790,160,27,,,,,,Newport city,3435,1466,3715,1442,3435,3715
2748310,160,27,,,,,,Onamia city,878,398,847,355,878,847
2751892,160,27,,,,,,Ponemah CDP,724,189,874,215,724,874
2753890,160,27,,,,,,Renville city,1287,606,1323,544,1287,1323
2754214,160,27,,,,,,Richfield city,35228,15735,34439,15357,35228,34439
2756338,160,27,,,,,,Rushmore city,342,173,376,173,342,376
2758000,160,27,,,,,,St. Paul city,285068,120795,287151,115713,285068,287151
2758018,160,27,,,,,,St. Paul Park city,5279,2079,5070,1868,5279,5070
2758648,160,27,,,,,,Sauk Centre city,4317,1994,3930,1709,4317,3930
2761492,160,27,,,,,,South St. Paul city,20160,8666,20167,8313,20160,20167
2763022,160,27,,,,,,Storden city,219,124,274,132,219,274
2772022,160,27,,,,,,Wyoming city,7791,2845,3048,1055,7791,3048
2700316,160,27,,,,,,Afton city,2886,1143,2839,1027,2886,2839
2700622,160,27,,,,,,Albany city,2561,1071,1796,732,2561,1796
2702134,160,27,,,,,,Argyle city,639,282,656,284,639,656
2702692,160,27,,,,,,Atwater city,1133,494,1079,475,1133,1079
2704042,160,27,,,,,,Baxter city,7610,3176,5555,1979,7610,5555
2704762,160,27,,,,,,Belgrade city,740,363,750,342,740,750
2705068,160,27,,,,,,Bemidji city,13431,5748,11917,4948,13431,11917
2705698,160,27,,,,,,Bigfork city,446,241,469,226,446,469
2705896,160,27,,,,,,Bingham Lake city,126,63,167,65,126,167
2706580,160,27,,,,,,Blooming Prairie city,1996,864,1933,774,1996,1933
2706616,160,27,,,,,,Bloomington city,82893,37641,85172,37104,82893,85172
2706814,160,27,,,,,,Bock city,106,49,106,48,106,106
2707516,160,27,,,,,,Breezy Point city,2346,1797,979,899,2346,979
2707660,160,27,,,,,,Brewster city,473,218,502,218,473,502
2708110,160,27,,,,,,Browerville city,790,366,735,337,790,735
2708488,160,27,,,,,,Buffalo Lake city,733,327,768,313,733,768
2709280,160,27,,,,,,Callaway city,234,88,200,77,234,200
2709316,160,27,,,,,,Calumet city,367,178,383,178,367,383
2710648,160,27,,,,,,Centerville city,3792,1363,3202,1094,3792,3202
2711350,160,27,,,,,,Chisago City city,4967,2209,2622,1107,4967,2622
2711674,160,27,,,,,,Clarks Grove city,706,312,734,296,706,734
2712430,160,27,,,,,,Cokato city,2694,1103,2727,1035,2694,2727
2712862,160,27,,,,,,Comstock city,93,44,123,49,93,123
2713006,160,27,,,,,,Cook city,574,306,622,302,574,622
2713420,160,27,,,,,,Cosmos city,473,261,582,261,473,582
2713564,160,27,,,,,,Cottonwood city,1212,545,1148,481,1212,1148
2713582,160,27,,,,,,Courtland city,611,251,538,190,611,538
2713780,160,27,,,,,,Cromwell city,234,180,143,94,234,143
2714842,160,27,,,,,,Darwin city,350,153,276,130,350,276
2714878,160,27,,,,,,Dassel city,1469,620,1233,551,1469,1233
2715022,160,27,,,,,,Dayton city,4671,1699,4699,1566,4671,4699
2715184,160,27,,,,,,Deer Creek city,322,161,328,163,322,328
2715346,160,27,,,,,,Deerwood city,532,319,590,309,532,590
2715544,160,27,,,,,,Delhi city,70,35,69,35,70,69
2715616,160,27,,,,,,Dellwood city,1063,409,1033,374,1063,1033
